Type,Residuals
Train,247.28796474749743
Train,670.1696916040473
Train,-421.29354608220274
Train,-33.90868028596742
Train,-764.2583652821995
Train,197.48956420082413
Train,478.4328903435962
Train,528.4844761266904
Train,33.66183368354541
Train,253.62195644382427
Train,653.5522816946177
Train,-294.22538637248726
Train,24.727740229371193
Train,-365.9476266103775
Train,-1065.981986609866
Train,193.3770832672517
Train,-394.8786141246037
Train,-314.70129595534127
Train,345.73222947995964
Train,417.35559968081725
Train,-178.5103147854843
Train,309.5467561312762
Train,-1028.2717942092495
Train,-179.27148086020588
Train,35.81233307782895
Train,-165.3906511317191
Train,118.14417520843563
Train,-473.7915512885702
Train,-389.77451620471584
Train,111.83453243830081
Train,-254.67967179531843
Train,235.47778682898206
Train,337.6838084265146
Train,66.72622734041215
Train,342.5800978205734
Train,576.2116442468578
Train,463.6453068199153
Train,364.06742877789657
Train,280.56314595177173
Train,87.84546187466913
Train,425.19372428476527
Train,-68.57191500263616
Train,-85.13372576691472
Train,73.91107169216775
Train,767.5331372416003
Train,505.4336271091197
Train,-405.1996441407391
Train,-551.1650557043831
Train,-344.17900521558477
Train,284.6163936125449
Train,424.1520280706609
Train,179.5372857839302
Train,-352.2801168803453
Train,-48.32210558198494
Train,-211.60691282611515
Train,93.62273963304142
Train,-463.2824875760434
Train,-375.68413892970057
Train,-374.4943944054776
Train,-332.15002458660456
Train,188.83596200879765
Train,1346.9234907950377
Train,358.8111808947797
Train,-181.97280814992519
Train,-422.60599894609186
Train,106.67842896648654
Train,119.6070667305612
Train,860.1483733123532
Train,645.660154131263
Train,-244.64529882080024
Train,865.6100861661325
Train,305.72481702570985
Train,4.1874334110289055
Train,300.6543253763339
Train,523.2068199214336
Train,805.7808507767513
Train,276.9633681041996
Train,-566.8170286680433
Train,74.57221078962175
Train,141.87366936612943
Train,-566.0472607203428
Train,183.11379437978394
Train,-592.8559554588755
Train,17.49913886872673
Train,-247.97157371899402
Train,224.20330449243102
Train,-512.8747342792485
Train,407.63106550949306
Train,332.1468900164364
Train,-477.2686435209016
Train,626.3689977272443
Train,-32.61816043676845
Train,136.59928893069082
Train,-635.402388989547
Train,-233.85368948027917
Train,-321.6488161723719
Train,792.6077796014215
Train,338.08056323099663
Train,-275.17272651233816
Train,29.910903549529394
Train,-514.5049191531652
Train,124.97910928872443
Train,-158.23206420687984
Train,-270.0757574647878
Train,86.4488893528578
Train,270.1589454710702
Train,367.2336475621669
Train,157.73778990192295
Train,-68.12273880003977
Train,430.76645556998847
Train,-336.00456443924486
Train,-591.3626443290173
Train,431.2062189832395
Train,335.85263403015415
Train,-329.9615051643086
Train,29.417484155910643
Train,-134.8494213363483
Train,212.08412046275043
Train,-292.93205129056514
Train,580.2822191767409
Train,-148.04531859782037
Train,-768.6552306948543
Train,284.1441988975894
Train,-566.4244288477275
Train,-310.4541355750589
Train,66.89695912483148
Train,393.5427699500442
Train,522.7456050834171
Train,380.2268503054829
Train,373.8265951069725
Train,37.40351962803288
Train,-442.66262219336204
Train,404.02149885553445
Train,209.63846508347706
Train,61.5179647074674
Train,113.7751989709941
Train,74.70121775178268
Train,-472.3763578308035
Train,-80.27442975737904
Train,-51.483926087974396
Train,72.71561968742935
Train,-178.45288168930438
Train,-154.76841201687785
Train,581.2403672047476
Train,-74.89240107942715
Train,-300.88524016150586
Train,-155.5724480327449
